Team,Group,Previous Appearances,Previous Titles,Previous Finals,Previous Semifinals,Rank
Mumbai Indians,A,11,3,4,7,57.97
Kolkata Knight Riders,A,11,2,2,6,50.54
Royal Challengers Banglore,A,11,0,3,5,47.36
Chennai Super Kings,A,9,3,7,9,60.6
Rajasthan Royals,A,9,1,1,4,49.65
Delhi Capitals,A,11,0,0,3,43.18
Kings XI Punjab,A,11,0,1,2,46.59
Sunrisers Hyderabad,A,11,2,3,6,47.02
Rising Pune Supergiants,A,2,0,1,1,35.52
Gujarat Lions,A,2,0,0,1,43.33
Kochi Tuskers Kerala,A,1,0,0,0,42.85
Pune Warriors,A,3,0,0,0,26.6
